File,five,four,one,six,three,two
C_000151.jpg,0,0,0,0,1,0
C_000152.jpg,1,0,0,0,0,0
C_000153.jpg,0,0,0,0,0,1
C_000154.jpg,0,0,0,1,0,0
C_000155.jpg,0,0,0,1,0,0
C_000156.jpg,0,1,0,0,0,0
C_000157.jpg,0,0,0,0,0,1
C_000158.jpg,0,1,0,0,0,0
C_000159.jpg,0,0,0,1,0,0
C_000160.jpg,0,1,0,0,0,0
C_000161.jpg,0,1,0,0,0,0
C_000162.jpg,0,1,0,0,0,0
C_000163.jpg,0,0,0,0,0,1
C_000164.jpg,0,0,1,0,0,0
C_000165.jpg,0,1,0,0,0,0
C_000166.jpg,1,0,0,0,0,0
C_000167.jpg,0,0,0,0,0,1
C_000168.jpg,0,0,0,1,0,0
C_000169.jpg,0,0,0,1,0,0
C_000170.jpg,0,0,0,0,1,0
C_000171.jpg,0,0,0,0,1,0
C_000172.jpg,0,0,0,0,0,1
C_000173.jpg,0,1,0,0,0,0
C_000174.jpg,0,0,0,1,0,0
C_000175.jpg,0,0,0,0,1,0
C_000176.jpg,0,0,0,0,1,0
C_000177.jpg,0,0,0,0,0,1
C_000178.jpg,0,0,1,0,0,0
C_000179.jpg,0,0,1,0,0,0
C_000180.jpg,0,0,0,1,0,0
C_000181.jpg,0,0,0,1,0,0
C_000182.jpg,0,0,1,0,0,0
C_000183.jpg,1,0,0,0,0,0
C_000184.jpg,0,1,0,0,0,0
C_000185.jpg,0,0,1,0,0,0
C_000186.jpg,0,0,1,0,0,0
C_000187.jpg,0,0,0,0,0,1
C_000188.jpg,0,0,1,0,0,0
C_000189.jpg,0,1,0,0,0,0
C_000190.jpg,0,0,0,1,0,0
C_000191.jpg,0,0,0,0,0,1
C_000192.jpg,1,0,0,0,0,0
C_000193.jpg,1,0,0,0,0,0
C_000194.jpg,0,1,0,0,0,0
C_000195.jpg,0,1,0,0,0,0
C_000196.jpg,0,0,0,0,1,0
C_000197.jpg,0,0,0,0,1,0
C_000198.jpg,0,0,0,0,1,0
C_000199.jpg,0,0,1,0,0,0
C_000200.jpg,0,0,1,0,0,0
C_000201.jpg,1,0,0,0,0,0
C_000202.jpg,0,0,1,0,0,0
C_000203.jpg,1,0,0,0,0,0
C_000204.jpg,0,0,0,1,0,0
C_000205.jpg,0,0,1,0,0,0
C_000206.jpg,1,0,0,0,0,0
C_000207.jpg,0,1,0,0,0,0
C_000208.jpg,0,0,0,0,1,0
C_000209.jpg,1,0,0,0,0,0
C_000210.jpg,0,1,0,0,0,0
C_000211.jpg,0,1,0,0,0,0
C_000212.jpg,0,0,0,0,0,1
C_000213.jpg,0,0,0,1,0,0
C_000214.jpg,0,1,0,0,0,0
C_000215.jpg,0,0,0,0,1,0
C_000216.jpg,0,0,0,1,0,0
C_000217.jpg,0,1,0,0,0,0
C_000218.jpg,0,0,0,0,0,1
C_000219.jpg,0,0,1,0,0,0
C_000220.jpg,0,0,0,0,0,1
C_000221.jpg,1,0,0,0,0,0
C_000222.jpg,0,0,1,0,0,0
C_000223.jpg,1,0,0,0,0,0
C_000224.jpg,0,0,0,1,0,0
C_000225.jpg,0,0,0,1,0,0
C_000226.jpg,1,0,0,0,0,0
C_000227.jpg,0,0,0,0,0,1
C_000228.jpg,0,1,0,0,0,0
C_000229.jpg,0,1,0,0,0,0
C_000230.jpg,0,0,0,0,1,0
C_000231.jpg,0,0,0,0,0,1
C_000232.jpg,0,0,1,0,0,0
C_000233.jpg,0,0,0,0,0,1
C_000234.jpg,0,0,0,0,0,1
C_000235.jpg,0,1,0,0,0,0
C_000236.jpg,0,1,0,0,0,0
C_000237.jpg,1,0,0,0,0,0
C_000238.jpg,0,0,0,1,0,0
C_000239.jpg,0,0,0,0,0,1
C_000240.jpg,0,1,0,0,0,0
C_000241.jpg,0,0,0,1,0,0
C_000242.jpg,1,0,0,0,0,0
C_000243.jpg,0,1,0,0,0,0
C_000244.jpg,1,0,0,0,0,0
C_000245.jpg,0,0,0,0,1,0
C_000246.jpg,0,0,0,0,0,1
C_000247.jpg,0,0,1,0,0,0
C_000248.jpg,0,1,0,0,0,0
C_000249.jpg,0,0,0,0,1,0
C_000250.jpg,0,0,0,1,0,0
C_000251.jpg,0,0,1,0,0,0
C_000252.jpg,0,0,0,1,0,0
C_000253.jpg,1,0,0,0,0,0
C_000254.jpg,0,0,0,1,0,0
C_000255.jpg,0,0,0,1,0,0
C_000256.jpg,0,1,0,0,0,0
C_000257.jpg,0,0,1,0,0,0
C_000258.jpg,0,0,0,0,1,0
C_000259.jpg,0,0,1,0,0,0
C_000260.jpg,1,0,0,0,0,0
C_000261.jpg,1,0,0,0,0,0
C_000262.jpg,0,0,1,0,0,0
C_000263.jpg,0,1,0,0,0,0
C_000264.jpg,0,0,0,0,1,0
C_000265.jpg,0,0,0,0,0,1
C_000266.jpg,0,0,0,1,0,0
C_000267.jpg,0,0,0,0,1,0
C_000268.jpg,0,1,0,0,0,0
C_000269.jpg,0,0,0,0,1,0
C_000270.jpg,0,0,0,0,1,0
C_000271.jpg,1,0,0,0,0,0
C_000272.jpg,0,0,0,0,1,0
C_000273.jpg,0,1,0,0,0,0
C_000274.jpg,0,1,0,0,0,0
C_000275.jpg,0,0,1,0,0,0
C_000276.jpg,0,0,0,0,0,1
C_000277.jpg,1,0,0,0,0,0
C_000278.jpg,0,0,0,0,1,0
C_000279.jpg,0,0,0,0,1,0
C_000280.jpg,0,1,0,0,0,0
C_000281.jpg,1,0,0,0,0,0
C_000282.jpg,0,0,0,0,1,0
C_000283.jpg,0,0,0,1,0,0
C_000284.jpg,1,0,0,0,0,0
C_000285.jpg,0,0,0,1,0,0
