File,eight,five,four,one,seven,six,three,two
C_040000.jpg,0,0,0,0,0,1,0,0
C_040001.jpg,0,1,0,0,0,0,0,0
C_040002.jpg,0,1,0,0,0,0,0,0
C_040003.jpg,0,0,0,0,1,0,0,0
C_040004.jpg,0,0,0,0,1,0,0,0
C_040005.jpg,0,0,0,0,0,1,0,0
C_040006.jpg,0,0,0,0,0,1,0,0
C_040007.jpg,0,0,0,0,0,1,0,0
C_040008.jpg,0,0,1,0,0,0,0,0
C_040009.jpg,0,0,1,0,0,0,0,0
C_040010.jpg,0,0,1,0,0,0,0,0
C_040011.jpg,0,1,0,0,0,0,0,0
C_040012.jpg,0,0,0,0,0,1,0,0
C_040013.jpg,0,1,0,0,0,0,0,0
C_040014.jpg,1,0,0,0,0,0,0,0
C_040015.jpg,0,0,0,1,0,0,0,0
C_040016.jpg,0,0,0,0,0,1,0,0
C_040017.jpg,0,0,0,1,0,0,0,0
C_040018.jpg,0,0,0,0,0,0,0,1
C_040019.jpg,0,1,0,0,0,0,0,0
C_040020.jpg,0,0,0,0,0,0,0,1
C_040021.jpg,0,0,0,0,1,0,0,0
C_040022.jpg,0,0,0,0,0,0,0,1
C_040023.jpg,0,1,0,0,0,0,0,0
C_040024.jpg,0,0,0,1,0,0,0,0
C_040025.jpg,0,0,0,1,0,0,0,0
C_040026.jpg,0,0,0,0,1,0,0,0
C_040027.jpg,0,0,0,0,0,0,0,1
C_040028.jpg,1,0,0,0,0,0,0,0
C_040029.jpg,0,0,0,0,0,0,0,1
C_040030.jpg,0,0,0,0,0,0,0,1
C_040031.jpg,0,0,0,0,0,1,0,0
C_040032.jpg,0,1,0,0,0,0,0,0
C_040033.jpg,0,0,0,1,0,0,0,0
C_040034.jpg,0,0,1,0,0,0,0,0
C_040035.jpg,0,0,0,0,1,0,0,0
C_040036.jpg,0,0,0,0,0,1,0,0
C_040037.jpg,0,0,0,0,0,1,0,0
C_040038.jpg,1,0,0,0,0,0,0,0
C_040039.jpg,0,0,0,0,1,0,0,0
C_040040.jpg,0,0,0,0,0,1,0,0
C_040041.jpg,1,0,0,0,0,0,0,0
C_040042.jpg,0,0,0,0,1,0,0,0
C_040043.jpg,0,0,1,0,0,0,0,0
C_040044.jpg,0,0,1,0,0,0,0,0
C_040045.jpg,0,0,0,1,0,0,0,0
C_040046.jpg,0,0,0,0,0,0,1,0
C_040047.jpg,0,1,0,0,0,0,0,0
C_040048.jpg,0,1,0,0,0,0,0,0
C_040049.jpg,1,0,0,0,0,0,0,0
C_040050.jpg,0,0,0,0,1,0,0,0
C_040051.jpg,0,0,0,1,0,0,0,0
C_040052.jpg,0,0,0,0,0,0,0,1
C_040053.jpg,0,0,0,0,0,1,0,0
C_040054.jpg,0,0,0,0,0,0,1,0
C_040055.jpg,0,0,0,0,0,0,0,1
C_040056.jpg,0,1,0,0,0,0,0,0
C_040057.jpg,0,0,0,0,0,0,0,1
C_040058.jpg,1,0,0,0,0,0,0,0
C_040059.jpg,0,1,0,0,0,0,0,0
C_040060.jpg,0,1,0,0,0,0,0,0
C_040061.jpg,1,0,0,0,0,0,0,0
C_040062.jpg,0,0,0,0,1,0,0,0
C_040063.jpg,0,0,0,1,0,0,0,0
C_040064.jpg,0,0,1,0,0,0,0,0
C_040065.jpg,0,0,1,0,0,0,0,0
C_040066.jpg,0,0,0,0,1,0,0,0
C_040067.jpg,0,0,0,0,0,0,0,1
C_040068.jpg,0,0,0,0,1,0,0,0
C_040069.jpg,0,0,0,0,0,0,1,0
