File,eight,five,four,one,seven,six,three,two
B_040000.jpg,0,0,0,0,0,1,0,0
B_040001.jpg,0,0,0,0,0,0,0,1
B_040002.jpg,0,0,1,0,0,0,0,0
B_040003.jpg,0,0,0,0,0,0,0,1
B_040004.jpg,1,0,0,0,0,0,0,0
B_040005.jpg,0,0,0,0,0,0,0,1
B_040006.jpg,0,0,0,0,1,0,0,0
B_040007.jpg,0,0,0,1,0,0,0,0
B_040008.jpg,0,0,0,0,1,0,0,0
B_040009.jpg,0,0,0,0,1,0,0,0
B_040010.jpg,0,1,0,0,0,0,0,0
B_040011.jpg,0,0,0,0,0,1,0,0
B_040012.jpg,0,0,0,0,0,1,0,0
B_040013.jpg,0,0,0,0,0,0,1,0
B_040014.jpg,0,1,0,0,0,0,0,0
B_040015.jpg,1,0,0,0,0,0,0,0
B_040016.jpg,0,0,0,0,0,0,0,1
B_040017.jpg,0,0,0,0,0,0,1,0
B_040018.jpg,1,0,0,0,0,0,0,0
B_040019.jpg,0,0,0,0,0,0,1,0
B_040020.jpg,0,0,0,0,0,0,1,0
B_040021.jpg,1,0,0,0,0,0,0,0
B_040022.jpg,1,0,0,0,0,0,0,0
B_040023.jpg,0,0,0,1,0,0,0,0
B_040024.jpg,0,0,0,1,0,0,0,0
B_040025.jpg,0,0,0,0,0,0,1,0
B_040026.jpg,0,0,0,0,0,1,0,0
B_040027.jpg,1,0,0,0,0,0,0,0
B_040028.jpg,0,0,0,1,0,0,0,0
B_040029.jpg,0,0,0,0,0,1,0,0
B_040030.jpg,0,1,0,0,0,0,0,0
B_040031.jpg,0,0,0,0,0,0,1,0
B_040032.jpg,1,0,0,0,0,0,0,0
B_040033.jpg,0,1,0,0,0,0,0,0
B_040034.jpg,0,0,0,0,0,0,0,1
B_040035.jpg,1,0,0,0,0,0,0,0
B_040036.jpg,0,0,0,0,0,0,1,0
B_040037.jpg,0,0,0,1,0,0,0,0
B_040038.jpg,0,0,1,0,0,0,0,0
B_040039.jpg,0,1,0,0,0,0,0,0
B_040040.jpg,1,0,0,0,0,0,0,0
B_040041.jpg,0,0,0,0,0,0,0,1
B_040042.jpg,0,0,0,0,0,0,1,0
B_040043.jpg,0,0,0,0,1,0,0,0
B_040044.jpg,0,0,0,1,0,0,0,0
B_040045.jpg,1,0,0,0,0,0,0,0
B_040046.jpg,0,0,0,1,0,0,0,0
B_040047.jpg,1,0,0,0,0,0,0,0
B_040048.jpg,0,0,1,0,0,0,0,0
B_040049.jpg,1,0,0,0,0,0,0,0
B_040050.jpg,0,0,0,1,0,0,0,0
B_040051.jpg,0,0,0,0,1,0,0,0
B_040052.jpg,0,0,0,0,0,1,0,0
B_040053.jpg,0,0,0,0,0,0,0,1
B_040054.jpg,0,0,0,0,0,0,0,1
B_040055.jpg,0,1,0,0,0,0,0,0
B_040056.jpg,0,0,0,0,0,0,0,1
B_040057.jpg,0,1,0,0,0,0,0,0
B_040058.jpg,0,0,0,0,1,0,0,0
B_040059.jpg,1,0,0,0,0,0,0,0
B_040060.jpg,0,1,0,0,0,0,0,0
B_040061.jpg,0,0,1,0,0,0,0,0
B_040062.jpg,0,0,0,0,0,0,1,0
B_040063.jpg,0,0,0,0,1,0,0,0
B_040064.jpg,0,0,0,1,0,0,0,0
B_040065.jpg,0,0,1,0,0,0,0,0
B_040066.jpg,0,0,0,1,0,0,0,0
B_040067.jpg,0,0,0,0,1,0,0,0
B_040068.jpg,0,1,0,0,0,0,0,0
B_040069.jpg,0,0,0,0,0,0,0,1
B_040070.jpg,0,0,0,1,0,0,0,0
B_040071.jpg,0,0,0,0,1,0,0,0
B_040072.jpg,0,0,0,0,0,0,1,0
B_040073.jpg,0,0,0,0,0,0,1,0
B_040074.jpg,0,1,0,0,0,0,0,0
B_040075.jpg,0,0,0,0,1,0,0,0
B_040076.jpg,0,0,0,0,0,0,0,1
B_040077.jpg,1,0,0,0,0,0,0,0
B_040078.jpg,0,0,0,0,0,0,1,0
B_040079.jpg,1,0,0,0,0,0,0,0
B_040080.jpg,0,0,0,0,0,0,1,0
B_040081.jpg,0,0,0,0,0,0,0,1
B_040082.jpg,1,0,0,0,0,0,0,0
B_040083.jpg,1,0,0,0,0,0,0,0
B_040084.jpg,0,0,0,0,0,0,1,0
B_040085.jpg,0,0,0,0,0,1,0,0
B_040086.jpg,0,0,0,0,0,0,0,1
B_040087.jpg,1,0,0,0,0,0,0,0
B_040088.jpg,0,1,0,0,0,0,0,0
B_040089.jpg,0,1,0,0,0,0,0,0
B_040090.jpg,0,0,0,0,1,0,0,0
B_040091.jpg,0,0,0,0,0,1,0,0
B_040092.jpg,0,0,0,0,0,1,0,0
B_040093.jpg,0,0,0,1,0,0,0,0
B_040094.jpg,0,0,0,1,0,0,0,0
B_040095.jpg,0,0,0,1,0,0,0,0
B_040096.jpg,0,0,0,0,0,0,1,0
B_040097.jpg,0,0,0,0,0,0,1,0
B_040098.jpg,0,0,1,0,0,0,0,0
B_040099.jpg,0,0,0,1,0,0,0,0
B_040100.jpg,0,0,0,0,0,1,0,0
B_040101.jpg,0,1,0,0,0,0,0,0
B_040102.jpg,0,0,0,0,0,0,0,1
B_040103.jpg,0,0,0,1,0,0,0,0
B_040104.jpg,0,0,1,0,0,0,0,0
B_040105.jpg,0,0,1,0,0,0,0,0
B_040106.jpg,0,0,1,0,0,0,0,0
B_040107.jpg,0,0,0,0,0,1,0,0
B_040108.jpg,0,0,0,0,0,1,0,0
B_040109.jpg,0,0,0,0,0,0,0,1
B_040110.jpg,1,0,0,0,0,0,0,0
B_040111.jpg,0,0,0,1,0,0,0,0
B_040112.jpg,1,0,0,0,0,0,0,0
B_040113.jpg,0,0,0,0,0,1,0,0
B_040114.jpg,0,0,0,0,0,0,1,0
B_040115.jpg,0,0,1,0,0,0,0,0
B_040116.jpg,0,1,0,0,0,0,0,0
B_040117.jpg,0,0,0,0,0,0,1,0
B_040118.jpg,0,0,0,0,0,0,0,1
B_040119.jpg,0,1,0,0,0,0,0,0
B_040120.jpg,0,0,0,1,0,0,0,0
B_040121.jpg,0,0,0,0,0,0,0,1
B_040122.jpg,0,0,1,0,0,0,0,0
B_040123.jpg,1,0,0,0,0,0,0,0
B_040124.jpg,0,0,0,0,0,0,0,1
B_040125.jpg,0,1,0,0,0,0,0,0
B_040126.jpg,0,1,0,0,0,0,0,0
B_040127.jpg,0,0,0,1,0,0,0,0
B_040128.jpg,0,0,1,0,0,0,0,0
B_040129.jpg,0,0,0,0,0,0,1,0
B_040130.jpg,0,0,0,0,0,1,0,0
B_040131.jpg,0,1,0,0,0,0,0,0
B_040132.jpg,0,0,0,0,0,0,0,1
B_040133.jpg,0,0,0,0,1,0,0,0
B_040134.jpg,0,0,0,1,0,0,0,0
B_040135.jpg,0,1,0,0,0,0,0,0
B_040136.jpg,0,0,1,0,0,0,0,0
B_040137.jpg,0,0,0,0,0,1,0,0
B_040138.jpg,0,0,0,0,1,0,0,0
B_040139.jpg,0,0,0,0,1,0,0,0
B_040140.jpg,0,0,1,0,0,0,0,0
B_040141.jpg,0,0,1,0,0,0,0,0
B_040142.jpg,0,0,0,0,1,0,0,0
B_040143.jpg,0,0,1,0,0,0,0,0
B_040144.jpg,0,0,0,0,1,0,0,0
B_040145.jpg,1,0,0,0,0,0,0,0
B_040146.jpg,0,0,0,1,0,0,0,0
B_040147.jpg,0,0,1,0,0,0,0,0
B_040148.jpg,0,0,0,1,0,0,0,0
B_040149.jpg,0,0,0,0,0,0,1,0
B_040150.jpg,1,0,0,0,0,0,0,0
B_040151.jpg,0,1,0,0,0,0,0,0
B_040152.jpg,0,1,0,0,0,0,0,0
B_040153.jpg,0,0,0,0,0,0,1,0
B_040154.jpg,0,0,0,0,0,1,0,0
B_040155.jpg,0,0,0,0,0,0,0,1
B_040156.jpg,0,0,0,1,0,0,0,0
B_040157.jpg,0,0,0,0,0,0,0,1
B_040158.jpg,0,1,0,0,0,0,0,0
B_040159.jpg,0,0,0,0,1,0,0,0
B_040160.jpg,0,0,0,0,1,0,0,0
B_040161.jpg,0,0,0,0,1,0,0,0
B_040162.jpg,0,0,0,0,0,0,0,1
