File,blank,crit,focus,hit
A_000187.jpg,0,0,0,1
A_000188.jpg,0,0,1,0
A_000189.jpg,0,0,1,0
A_000190.jpg,0,1,0,0
A_000191.jpg,0,0,0,1
A_000192.jpg,0,0,0,1
A_000193.jpg,0,1,0,0
A_000194.jpg,0,0,0,1
A_000195.jpg,0,0,0,1
A_000196.jpg,0,0,0,1
A_000197.jpg,1,0,0,0
A_000198.jpg,0,1,0,0
A_000199.jpg,0,0,0,1
A_000200.jpg,0,0,0,1
A_000201.jpg,1,0,0,0
A_000202.jpg,0,0,1,0
A_000203.jpg,1,0,0,0
A_000204.jpg,0,0,1,0
A_000205.jpg,0,0,0,1
A_000206.jpg,0,0,1,0
A_000207.jpg,0,0,0,1
A_000208.jpg,0,1,0,0
A_000209.jpg,0,0,1,0
A_000210.jpg,0,0,1,0
A_000211.jpg,0,0,0,1
A_000212.jpg,1,0,0,0
A_000213.jpg,0,0,1,0
A_000214.jpg,0,0,0,1
A_000215.jpg,0,0,0,1
A_000216.jpg,0,0,0,1
A_000217.jpg,0,1,0,0
A_000218.jpg,0,0,1,0
A_000219.jpg,0,0,0,1
A_000220.jpg,0,0,0,1
A_000221.jpg,0,0,0,1
A_000222.jpg,1,0,0,0
A_000223.jpg,0,0,0,1
A_000224.jpg,0,0,0,1
A_000225.jpg,0,1,0,0
A_000226.jpg,0,1,0,0
A_000227.jpg,1,0,0,0
A_000228.jpg,0,0,0,1
A_000229.jpg,0,1,0,0
A_000230.jpg,1,0,0,0
A_000231.jpg,1,0,0,0
A_000232.jpg,0,0,1,0
A_000233.jpg,0,0,1,0
A_000234.jpg,1,0,0,0
A_000235.jpg,1,0,0,0
A_000236.jpg,0,0,1,0
A_000237.jpg,0,0,1,0
A_000238.jpg,1,0,0,0
A_000239.jpg,1,0,0,0
A_000240.jpg,0,0,0,1
A_000241.jpg,0,0,0,1
A_000242.jpg,0,0,0,1
A_000243.jpg,1,0,0,0
A_000244.jpg,0,0,0,1
A_000245.jpg,1,0,0,0
A_000246.jpg,0,1,0,0
A_000247.jpg,1,0,0,0
A_000248.jpg,0,0,0,1
A_000249.jpg,0,0,0,1
A_000250.jpg,0,0,1,0
A_000251.jpg,0,0,1,0
A_000252.jpg,0,0,0,1
A_000253.jpg,0,0,0,1
A_000254.jpg,0,1,0,0
A_000255.jpg,1,0,0,0
A_000256.jpg,0,1,0,0
A_000257.jpg,0,0,1,0
A_000258.jpg,1,0,0,0
A_000259.jpg,0,1,0,0
A_000260.jpg,0,0,1,0
A_000261.jpg,1,0,0,0
A_000262.jpg,0,1,0,0
A_000263.jpg,1,0,0,0
A_000264.jpg,0,0,1,0
A_000265.jpg,0,1,0,0
A_000266.jpg,0,0,0,1
A_000267.jpg,0,0,1,0
A_000268.jpg,0,1,0,0
A_000269.jpg,0,0,0,1
A_000270.jpg,1,0,0,0
A_000271.jpg,0,0,1,0
A_000272.jpg,1,0,0,0
A_000273.jpg,0,1,0,0
A_000274.jpg,0,0,0,1
A_000275.jpg,1,0,0,0
A_000276.jpg,0,1,0,0
A_000277.jpg,0,0,1,0
A_000278.jpg,0,0,0,1
A_000279.jpg,0,0,0,1
A_000280.jpg,1,0,0,0
A_000281.jpg,1,0,0,0
A_000282.jpg,0,0,0,1
A_000283.jpg,0,0,1,0
A_000284.jpg,0,0,0,1
A_000285.jpg,0,1,0,0
A_000286.jpg,0,0,0,1
A_000287.jpg,0,0,0,1
A_000288.jpg,0,0,1,0
A_000289.jpg,0,1,0,0
A_000290.jpg,0,0,0,1
A_000291.jpg,0,0,1,0
A_000292.jpg,0,1,0,0
A_000293.jpg,0,0,0,1
A_000294.jpg,0,1,0,0
A_000295.jpg,0,0,1,0
A_000296.jpg,0,0,0,1
A_000297.jpg,0,0,0,1
A_000298.jpg,1,0,0,0
